user_id	userID
A1KLRMWW2FWPL4	0
A2G5TCU2WDFZ65	1
A1RLQXYNCMWRWN	2
A8U3FAMSJVHS5	3
A3GEOILWLK86XM	4
A27UF1MSF3DB2	5
A16GFPNVF4Y816	6
A2M2APVYIB2U6K	7
A1NJ71X3YPQNQ9	8
A3EERSWHAI6SO	9
AX1QE6IR7CHXM	10
A2A2WZYLU528RO	11
A391EXIT5TFP72	12
A34ATJR9KFIXL9	13
AJ6B83I4YJHYW	14
A26A4KKLAVTMCC	15
A1MXJVYXE2QU6H	16
A2XJ13PIXVJFJH	17
A287XY94U7JDM8	18
A1JR9KKF6UKUWW	19
A2SX7X8QGQVCJU	20
A2Q6UWR5PBHTJS	21
AJZPHJR944IBB	22
A2WNN1DQVL4LH5	23
A1ZPOCG2ST2CY3	24
A1WDJIFL2F4QJA	25
A3RB1JA72Z0TUN	26
A1JC50F14SLAEV	27
A8WD29DKN8ZC3	28
A1F7YU6O5RU432	29
A3INPLAFCMRI3I	30
A3NHUQ33CFH3VM	31
A253TILLU81VZK	32
A28QH3KX709FFQ	33
A1R377IPZOKLMM	34
A3U6J0DLLDEWM2	35
A1ZU55TM45Y2R8	36
A1NIGUK4M2ST8	37
AQY5XBYSENNZQ	38
A1GNYV0RA0EQSS	39
A3D5B2CBFNJB0K	40
A35V32HZEGZH04	41
A31ICLWQ9CSHRS	42
A3I1BJIFFM4S21	43
A216NSW58Q3SCJ	44
A25C2M3QF9G7OQ	45
A2BN9DIBP9A0XG	46
AY3D7DG5L5WCK	47
AOEDWQLH2WKKW	48
AN81JUYW2SL24	49
A20FK68BUB1IVA	50
AZAC8O310IK4E	51
A2JCJJNY43QQIV	52
A2VH0UT5EQFB6P	53
A18S2VGUH9SCV5	54
A379DLIAF0MFM5	55
A3MHGA6BJJ7P27	56
A1059SSXUZZS1S	57
A2VNCKMXMHN9E8	58
A23GX78LIV4J2F	59
A7EHAXLU64UAE	60
A2VHNDYD9B8PGO	61
A1FVO9ZB49ZCXA	62
A37IOOK9CVRBND	63
A11Z8RVUCDYJAC	64
A2WF82910Z50CT	65
A15LON8ZV0GJXD	66
A1IOSSO7P46M0B	67
A3PQ8KCENIDZ7P	68
A3VZ1PO40JCGFV	69
A1S1IP62GI71D0	70
A18WUUFY45DOWA	71
A319M5UYKNLK8B	72
AD64M1IOZBT0N	73
A1RBMSDM4N3M0J	74
A2PB8V16TLP6IC	75
AJU5WLLEHPZ3X	76
A1EFMJQNZTZU9T	77
A3FI4WZ8EQTRS5	78
A2DYTAZJ28WWRH	79
A3JX1D26WFEXOS	80
A1T7PS2VAS1RTC	81
A2GLR9H28HPTW6	82
A3SC04DC5TLYSP	83
A240W3C2Z3WQCQ	84
A1WCJS4L2L1WQ	85
A37U7Y7IPIHBFB	86
A1X6ZPF88LTHGJ	87
A1UWE64CPO197G	88
A1DXE6GODEAXS2	89
A11EKRR0LDL893	90
A3J9UVDJ5OZSSY	91
A1YLFVE9IEMDMR	92
A38VYAG164NBSQ	93
AF46F8IQ6GZLW	94
A2WN31HANFD17K	95
A2TYOUN7A2UVAU	96
AIO4HX0KOLM73	97
ACVB24PN5KS0A	98
A13XISH6C2F7L9	99
A3RZ1B9B5A6TYF	100
A3QUJ5FZG9IKX8	101
A2LZP2YM846R4K	102
A2X5KTI8RDB0JH	103
A1Z9NIQKY3VLVG	104
A4ZTZFOO75HD2	105
A2HLAQL31J0IE1	106
A3BGYK1ELD652P	107
A34TVK5J8P7XDQ	108
A2U583VJW1XN83	109
A1QMRP6KLZDMAT	110
A38EJVT7C2T6CH	111
A22GHD1G3OQTED	112
A2L7F1XRZJ6K8G	113
A3F6ZN38TD43UN	114
A2K0D19N83G6U2	115
A8S94UH3I763R	116
A1JKNP4BG4ZZ35	117
A2H7AOXP8KUXQ1	118
A2XYM6A60U8M9S	119
A2TJ89QNOHVFZ2	120
A1JHIMWN7RI5GF	121
A3ETEYF1QW6807	122
A3C6ECCMS00GK	123
AFB3IJV3GUUCM	124
APCU5MPM2Y0LY	125
A1WCVQB9BXHYNL	126
A4KU0XJNBH674	127
A3HY330W94JPUQ	128
A1CHOKV10NEI8X	129
AOUBIY0S651IU	130
A1GPGBHBI6T2HJ	131
A353P0P8WF325F	132
A22E1XRKAQ2ZPP	133
AM4NZRK0EFPU	134
A1JJIRGZGBKT6A	135
A2G4MGVWR20OOI	136
AY96V4PZRJJT5	137
AOC6CQ1MHA8UD	138
A3TCMJ6GKZJFBQ	139
A3V4DUBZJBKEZ3	140
AKJHHD5VEH7VG	141
AJGN47OUGFDIT	142
A2FI5DJS6BK1XH	143
A326SHAHST9SQD	144
A2Z72LZNZEGN1S	145
AHM8R6ATGRDTU	146
A383EMEAL7EF3S	147
A20HIL9XFQK3CO	148
A2L7K5U87UVHJ7	149
A2V98YBD3SRVG9	150
A2ZSX6R0TL8ET6	151
A1YSVN7EBQZ5XT	152
A6EKW57XIY98F	153
A1AP9XV3I1TOBK	154
A3RIOHLQHR44R6	155
A21CMPZWSQQ1XL	156
A3HNCPACL5LNWP	157
A297R44X7WEQ8T	158
A2HUG9JGCHM106	159
A27WGPMYCDQWME	160
A1F5H0JZUN2E44	161
AEYZ1P2RQTEYQ	162
APFVLCHSGQQSH	163
A31AKA7MLNK0XX	164
A2F7CEXBQSND0B	165
A3NFR606Q5II6P	166
A1AXBQM2YHKDMB	167
A2TF7DBCIBQQ7D	168
A7WMHL3QV0DM0	169
A29XHDT85S7AVR	170
A1EDIHWDJNKMO9	171
A4S2GMZIQKEHY	172
ANROP64XNV49R	173
A32MLAAY4D0VB3	174
A2TRVPRLY8J0F3	175
AH1S02E7LGMSR	176
A35Q10UJWLW5XL	177
A1CIGMN879NSA	178
AS4P74KQY9WR4	179
AOGH0OOG5LBEG	180
A3PPYV0LUBM14W	181
A1NEIH01B5X6QL	182
A1EVV74UQYVKRY	183
A116Y1JDIZ81L	184
A3ORT5GTOGP7D8	185
A279F26TAKYWMA	186
AP4VM69F6WBPA	187
